Date,Flight,Scheduled Time,E/A Time,Delay,Scheduled Ha Block,Ha Block,From,To,Gate Nr.,Local Total
2026-04-01,AC832,2026-04-01 08:10:00,2026-04-01 07:39:00,-31.0,2026-04-01 08:17:00,2026-04-01 07:46:00,2026-04-01 08:02:00,2026-04-01 08:29:00,B30 A,122.0
2026-04-01,AY1541,2026-04-01 10:20:00,2026-04-01 10:05:00,-15.0,2026-04-01 10:27:00,2026-04-01 10:12:00,2026-04-01 10:30:00,2026-04-01 10:33:00,A56 ,57.0
2026-04-01,AY1545,2026-04-01 19:20:00,2026-04-01 19:07:00,-13.0,2026-04-01 19:25:00,2026-04-01 19:12:00,2026-04-01 19:27:00,2026-04-01 19:30:00,A45 ,34.0
2026-04-01,AY1549,2026-04-01 23:35:00,2026-04-01 23:05:00,-30.0,2026-04-01 23:40:00,2026-04-01 23:10:00,2026-04-01 23:22:00,2026-04-01 23:23:00,A53 ,32.0
2026-04-01,AZ148,2026-04-01 09:35:00,2026-04-01 09:24:00,-11.0,2026-04-01 09:40:00,2026-04-01 09:29:00,2026-04-01 09:50:00,2026-04-01 09:51:00,A55 ,1.0
2026-04-01,AZ154,2026-04-01 20:05:00,2026-04-01 19:52:00,-13.0,2026-04-01 20:10:00,2026-04-01 19:57:00,2026-04-01 20:16:00,2026-04-01 20:17:00,A49 ,15.0
2026-04-01,AZ156,2026-04-01 11:45:00,2026-04-01 11:30:00,-15.0,2026-04-01 11:53:00,2026-04-01 11:38:00,2026-04-01 11:53:00,2026-04-01 11:56:00,A49 ,35.0
2026-04-01,AZ160,2026-04-01 19:00:00,2026-04-01 19:03:00,3.0,2026-04-01 19:07:00,2026-04-01 19:10:00,2026-04-01 19:24:00,2026-04-01 19:26:00,A54 ,21.0
2026-04-01,BA384,2026-04-01 10:55:00,2026-04-01 10:44:00,-11.0,2026-04-01 10:59:00,2026-04-01 10:48:00,2026-04-01 11:07:00,2026-04-01 11:11:00,B29 A,36.0
2026-04-01,BA386,2026-04-01 16:15:00,2026-04-01 16:06:00,-9.0,2026-04-01 16:22:00,2026-04-01 16:13:00,2026-04-01 16:32:00,2026-04-01 16:37:00,B7  A,124.0
2026-04-01,BA390,2026-04-01 21:25:00,2026-04-01 21:10:00,-15.0,2026-04-01 21:29:00,2026-04-01 21:14:00,2026-04-01 21:31:00,2026-04-01 21:36:00,B30 A,86.0
2026-04-01,BT601,2026-04-01 09:55:00,2026-04-01 09:44:00,-11.0,2026-04-01 10:00:00,2026-04-01 09:49:00,2026-04-01 10:06:00,2026-04-01 10:11:00,A51 ,8.0
2026-04-01,BT603,2026-04-01 19:50:00,2026-04-01 19:29:00,-21.0,2026-04-01 19:58:00,2026-04-01 19:37:00,2026-04-01 19:47:00,2026-04-01 19:49:00,A68 ,12.0
2026-04-01,EI630,2026-04-01 10:40:00,2026-04-01 10:36:00,-4.0,2026-04-01 10:45:00,2026-04-01 10:41:00,2026-04-01 10:58:00,2026-04-01 11:03:00,B27 A,93.0
2026-04-01,EI638,2026-04-01 21:45:00,2026-04-01 21:21:00,-24.0,2026-04-01 21:50:00,2026-04-01 21:26:00,2026-04-01 21:44:00,2026-04-01 21:48:00,B38 A,91.0
2026-04-01,EK181,2026-04-01 20:30:00,2026-04-01 20:30:00,0.0,2026-04-01 20:35:00,2026-04-01 20:35:00,2026-04-01 20:49:00,2026-04-01 21:23:00,B37 A,214.0
2026-04-01,ET750,2026-04-01 08:05:00,2026-04-01 08:21:00,16.0,2026-04-01 08:10:00,2026-04-01 08:26:00,2026-04-01 08:46:00,2026-04-01 09:28:00,B11 A,391.0
2026-04-01,EY57,2026-04-01 09:00:00,2026-04-01 09:16:00,16.0,2026-04-01 09:06:00,2026-04-01 09:22:00,2026-04-01 09:35:00,2026-04-01 10:08:00,B5  A,121.0
2026-04-01,FB407,2026-04-01 20:45:00,2026-04-01 20:55:00,10.0,2026-04-01 20:49:00,2026-04-01 20:59:00,2026-04-01 21:15:00,2026-04-01 21:16:00,A45 ,13.0
2026-04-01,GQ1800,2026-04-01 08:50:00,2026-04-01 08:34:00,-16.0,2026-04-01 08:56:00,2026-04-01 08:40:00,2026-04-01 08:56:00,2026-04-01 09:09:00,A53 ,228.0
