Scenario_ID,Flight,Scheduled Ha Block,Delay,From,To,Gate Nr.,Local Total,Actual_Window,D_s1_Unloading,D_s2_Transport,D_s3_Infeed,Total_Duration
2026-04-01_rep_1,AC832,08:17:00,-31.0,08:02:00,08:29:00,B30 A,122.0,23.0,11.51,0.1,27.0,38.61
2026-04-01_rep_1,AY1541,10:27:00,-15.0,10:30:00,10:33:00,A56 ,57.0,25.0,4.15,1.5,3.0,8.65
2026-04-01_rep_1,AY1545,19:25:00,-13.0,19:27:00,19:30:00,A45 ,34.0,20.0,2.67,1.16,3.0,6.83
2026-04-01_rep_1,AY1549,23:40:00,-30.0,23:22:00,23:23:00,A53 ,32.0,17.0,2.57,1.84,1.0,5.41
2026-04-01_rep_1,AZ148,09:40:00,-11.0,09:50:00,09:51:00,A55 ,1.0,26.0,0.09,1.73,1.0,2.82
2026-04-01_rep_1,AZ154,20:10:00,-13.0,20:16:00,20:17:00,A49 ,15.0,24.0,1.3,2.1,1.0,4.39
2026-04-01_rep_1,AZ156,11:53:00,-15.0,11:53:00,11:56:00,A49 ,35.0,23.0,2.3,1.66,3.0,6.95
2026-04-01_rep_1,AZ160,19:07:00,3.0,19:24:00,19:26:00,A54 ,21.0,21.0,2.17,2.1,2.0,6.28
2026-04-01_rep_1,BA384,10:59:00,-11.0,11:07:00,11:11:00,B29 A,36.0,23.0,3.28,0.09,4.0,7.37
2026-04-01_rep_1,BA386,16:22:00,-9.0,16:32:00,16:37:00,B7  A,124.0,26.0,7.69,1.28,5.0,13.97
2026-04-01_rep_1,BA390,21:29:00,-15.0,21:31:00,21:36:00,B30 A,86.0,21.0,7.37,0.13,5.0,12.5
2026-04-01_rep_1,BT601,10:00:00,-11.0,10:06:00,10:11:00,A51 ,8.0,22.0,0.76,1.76,5.0,7.51
2026-04-01_rep_1,BT603,19:58:00,-21.0,19:47:00,19:49:00,A68 ,12.0,18.0,0.98,1.71,2.0,4.69
2026-04-01_rep_1,EI630,10:45:00,-4.0,10:58:00,11:03:00,B27 A,93.0,22.0,7.6,0.1,5.0,12.7
2026-04-01_rep_1,EI638,21:50:00,-24.0,21:44:00,21:48:00,B38 A,91.0,23.0,6.19,0.09,4.0,10.28
2026-04-01_rep_1,EK181,20:35:00,0.0,20:49:00,21:23:00,B37 A,214.0,19.0,18.75,0.08,34.0,52.83
2026-04-01_rep_1,ET750,08:10:00,16.0,08:46:00,09:28:00,B11 A,391.0,25.0,24.35,0.11,42.0,66.46
2026-04-01_rep_1,EY57,09:06:00,16.0,09:35:00,10:08:00,B5  A,121.0,19.0,11.1,1.2,33.0,45.3
2026-04-01_rep_1,FB407,20:49:00,10.0,21:15:00,21:16:00,A45 ,13.0,20.0,1.17,2.14,1.0,4.31
2026-04-01_rep_1,GQ1800,08:56:00,-16.0,08:56:00,09:09:00,A53 ,228.0,22.0,19.32,1.48,13.0,33.8
2026-04-01_rep_1,GQ800,14:11:00,10.0,14:39:00,14:43:00,A51 ,32.0,24.0,2.42,1.84,4.0,8.26
2026-04-01_rep_1,HV9004,00:20:00,-2.0,00:32:00,00:34:00,A52 ,77.0,19.0,5.37,1.47,2.0,8.83
2026-04-01_rep_1,HV9012,22:45:00,1.0,23:01:00,23:03:00,A59 ,38.0,20.0,3.27,1.62,2.0,6.88
2026-04-01_rep_1,IB597,12:31:00,-3.0,12:39:00,12:43:00,A43 ,74.0,17.0,7.69,1.79,4.0,13.47
2026-04-01_rep_1,IB601,20:07:00,-2.0,20:22:00,20:31:00,A60 ,103.0,24.0,6.11,1.91,9.0,17.03
2026-04-01_rep_1,IB603,23:35:00,-4.0,23:46:00,23:49:00,A51 ,61.0,20.0,5.78,1.74,3.0,10.51
2026-04-01_rep_1,JU272,21:30:00,-26.0,21:20:00,21:21:00,B28 A,53.0,21.0,4.04,0.1,1.0,5.14
2026-04-01_rep_1,KM420,20:20:00,-18.0,20:20:00,20:25:00,A63 ,66.0,23.0,4.67,1.61,5.0,11.27
2026-04-01_rep_1,LH1004,08:50:00,3.0,09:06:00,09:12:00,A43 ,29.0,18.0,1.93,1.94,6.0,9.87
2026-04-01_rep_1,LH2282,08:59:00,-14.0,09:02:00,09:04:00,A47 ,8.0,21.0,0.71,2.0,2.0,4.71
2026-04-01_rep_1,LO231,23:40:00,-14.0,23:44:00,23:45:00,A57 ,12.0,23.0,0.86,1.58,1.0,3.45
2026-04-01_rep_1,LO233,19:49:00,-13.0,19:53:00,19:54:00,A64 ,39.0,26.0,3.66,1.42,1.0,6.08
2026-04-01_rep_1,LO235,10:34:00,-31.0,10:15:00,10:16:00,A60 ,9.0,21.0,0.65,1.59,1.0,3.25
2026-04-01_rep_1,LO237,13:35:00,-24.0,13:29:00,13:31:00,A47 ,20.0,23.0,1.39,1.73,2.0,5.12
2026-04-01_rep_1,LX780,15:20:00,4.0,15:44:00,15:46:00,A43 ,65.0,25.0,5.36,1.67,2.0,9.03
2026-04-01_rep_1,LX786,09:55:00,28.0,10:41:00,10:48:00,A49 ,44.0,23.0,4.32,1.62,7.0,12.94
2026-04-01_rep_1,LX788,19:40:00,3.0,19:56:00,20:26:00,A47 ,37.0,18.0,2.54,1.64,30.0,34.18
2026-04-01_rep_1,ME215,11:39:00,-21.0,11:45:00,11:56:00,B31 A,128.0,31.0,11.2,0.1,11.0,22.3
2026-04-01_rep_1,NH231,18:40:00,-11.0,18:42:00,19:12:00,B5  A,200.0,18.0,15.81,2.12,30.0,47.93
2026-04-01_rep_1,OS291,10:11:00,-16.0,10:06:00,10:11:00,A47 ,13.0,17.0,1.34,1.86,5.0,8.21
2026-04-01_rep_1,OS295,17:50:00,-13.0,17:49:00,17:51:00,A51 ,22.0,17.0,1.55,1.52,2.0,5.06
2026-04-01_rep_1,OS297,20:14:00,-8.0,20:26:00,20:27:00,A51 ,14.0,24.0,1.1,1.44,1.0,3.54
2026-04-01_rep_1,OU4456,21:01:00,2.0,21:21:00,21:23:00,A56 ,13.0,29.0,1.16,2.13,2.0,5.29
2026-04-01_rep_1,OU456,09:47:00,-18.0,09:51:00,09:54:00,A49 ,4.0,29.0,0.32,1.57,3.0,4.89
2026-04-01_rep_1,QS1002,19:51:00,-20.0,19:42:00,19:43:00,A62 ,13.0,17.0,1.02,1.81,1.0,3.82
2026-04-01_rep_1,RO373,19:45:00,47.0,20:50:00,20:52:00,A66 ,12.0,28.0,0.82,1.42,2.0,4.24
2026-04-01_rep_1,SK1589,19:20:00,-14.0,19:24:00,19:28:00,A43 ,67.0,23.0,5.64,1.56,4.0,11.2
2026-04-01_rep_1,SK1593,15:41:00,0.0,15:55:00,15:59:00,A45 ,40.0,20.0,2.81,1.81,4.0,8.63
2026-04-01_rep_1,SK4745,21:35:00,-18.0,21:39:00,21:44:00,A43 ,110.0,27.0,12.42,1.46,5.0,18.88
2026-04-01_rep_1,SK589,11:26:00,-27.0,11:09:00,11:12:00,A40 ,53.0,21.0,4.65,1.2,3.0,8.85
2026-04-01_rep_1,SK593,10:45:00,-11.0,10:46:00,10:47:00,A55 ,29.0,17.0,2.75,1.53,1.0,5.28
